datasetID,institution,title,server
erdCalCOFIlrvsiz,NOAA SWFSC,CalCOFI NOAA Fish Larvae Sizes,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCalCOFIlrvstg,NOAA SWFSC,CalCOFI NOAA Fish Larvae Stages,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCalCOFItowtyp,NOAA SWFSC,CalCOFI NOAA Ichthyoplankton Tow Types,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCalCOFItows,NOAA SWFSC,CalCOFI NOAA Ichthyoplankton Tows,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCalCOFIinvsiz,NOAA SWFSC,CalCOFI NOAA Invertebrate Sizes,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCalCOFIinvcnt,NOAA SWFSC,CalCOFI NOAA Invertebrates,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCalCOFIstns,NOAA SWFSC,CalCOFI NOAA Stations,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCalCOFIzoovol,NOAA SWFSC,CalCOFI NOAA Zooplankton Volume,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
siocalcofiHydroBottle,UCSD SIO,CalCOFI SIO Hydrographic Bottle Data,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
siocalcofiHydroCast,UCSD SIO,CalCOFI SIO Hydrographic Cast Data,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
fedCalLandings,NOAA SWFSC FED,"California Commercial Fish Landings, 1931-1978","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCAMarCatLM,"CA DFG, NOAA ERD","California Fish Market Catch Landings, Long List, 1928-2002, Monthly","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCAMarCatLY,"CA DFG, NOAA ERD","California Fish Market Catch Landings, Long List, 1928-2002, Yearly","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCAMarCatSM,"CA DFG, NOAA ERD","California Fish Market Catch Landings, Short List, 1928-2002, Monthly","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCAMarCatSY,"CA DFG, NOAA ERD","California Fish Market Catch Landings, Short List, 1928-2002, Yearly","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
FRD_CPS_SDMs,"NOAA/SWFSC/FRD,NOAA/SWFSC/ERD,UCSC,NOAA/NWFSC,PSMFC",CCS Species Distribution Models for coastal pelagic species,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCinpKfmT,CINP,"Channel Islands, Kelp Forest Monitoring, Sea Temperature, 1993-2007","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCinpKfmSFNH,CINP,"Channel Islands, Kelp Forest Monitoring, Size and Frequency, Natural Habitat, 1985-2007","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCinpKfm1Q,CINP,"Channel Islands, Kelp Forest Monitoring, Survey, 1m Quadrat, 1982-2007","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCinpKfm5Q,CINP,"Channel Islands, Kelp Forest Monitoring, Survey, 5m Quadrat, 1996-2007","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCinpKfmBT,CINP,"Channel Islands, Kelp Forest Monitoring, Survey, Band Transect, 1983-2007","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCinpKfmFT,CINP,"Channel Islands, Kelp Forest Monitoring, Survey, Fish Transect, 1985-2007","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdCinpKfmRPC,CINP,"Channel Islands, Kelp Forest Monitoring, Survey, Random Point Contact, 1982-2007","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
chirps20GlobalPentadP05,UCSB Climate Hazards Group,"CHIRPS Version 2.0, Precipitation, Global, 0.05\u00b0, 5-Day, 1981-present","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
chirps20GlobalPentadP05_Lon0360,UCSB Climate Hazards Group,"CHIRPS Version 2.0, Precipitation, Global, 0.05\u00b0, 5-Day, 1981-present, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
chirps20GlobalAnnualP05,UCSB Climate Hazards Group,"CHIRPS Version 2.0, Precipitation, Global, 0.05\u00b0, Annual, 1981-present","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
chirps20GlobalAnnualP05_Lon0360,UCSB Climate Hazards Group,"CHIRPS Version 2.0, Precipitation, Global, 0.05\u00b0, Annual, 1981-present, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
chirps20GlobalDailyP05,UCSB Climate Hazards Group,"CHIRPS Version 2.0, Precipitation, Global, 0.05\u00b0, Daily, 1981-present","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
chirps20GlobalDailyP05_Lon0360,UCSB Climate Hazards Group,"CHIRPS Version 2.0, Precipitation, Global, 0.05\u00b0, Daily, 1981-present, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
chirps20GlobalMonthlyP05,UCSB Climate Hazards Group,"CHIRPS Version 2.0, Precipitation, Global, 0.05\u00b0, Monthly, 1981-present","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
chirps20GlobalMonthlyP05_Lon0360,UCSB Climate Hazards Group,"CHIRPS Version 2.0, Precipitation, Global, 0.05\u00b0, Monthly, 1981-present, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
noaacwNPPN20S3ASCIDINEOF2kmDaily,NOAA NESDIS STAR,"Chlorophyll (Gap-filled DINEOF), NOAA S-NPP NOAA-20 VIIRS and Copernicus S-3A OLCI, Science Quality, Global 2km, 2018-recent, Daily","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisNPPN20S3ASCIDINEOFDaily,NOAA NESDIS STAR,"Chlorophyll (Gap-filled DINEOF), NOAA S-NPP NOAA-20 VIIRS and Copernicus S-3A OLCI, Science Quality, Global 9km, 2018-\nrecent, Daily","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNnoaaSNPPnoaa20NRTchlaGapfilledDaily,NOAA NESDIS CoastWatch,"Chlorophyll (Gap-filled DINEOF), NOAA S-NPP NOAA-20, VIIRS, Near Real-Time, Global 9km, 2020-present,  Daily","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNnoaaSNPPnoaa20chlaGapfilledDaily,NOAA NESDIS CoastWatch,"Chlorophyll (Gap-filled DINEOF), NOAA S-NPP NOAA-20, VIIRS, Science Quality, Global 9km, 2018-recent,  Daily","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nesdisVHNnoaaSNPPnoaa20chlaGapfilledDaily_Lon0360,NOAA NESDIS CoastWatch,"Chlorophyll (Gap-filled DINEOF), NOAA S-NPP NOAA-20, VIIRS, Science Quality, Global 9km, 2018-recent,  Daily, Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdVHNchla1day,NOAA NMFS SWFSC ERD,"Chlorophyll a, North Pacific, NOAA VIIRS, 750m resolution, 2015-present (1 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
erdVHNchla1day_Lon0360,NOAA NMFS SWFSC ERD,"Chlorophyll a, North Pacific, NOAA VIIRS, 750m resolution, 2015-present (1 Day Composite), Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
